school_id,school_id2,deptID,short_name,CTU Name,Total Members,Organizer,School Type,address,Zip,grade_cat,ES_Network,CTU Network,Geo Network,ward,Commissioner District,Congressional District,IL House,IL Senate,AREA_NUMBE,COMMUNITY,CommSide,planning zone
400153,400153,66602,ACERO - BRIGHTON PARK,Brighton Park Charter Elem School,42,Christopher Baehrend,Charter,4420 S FAIRFIELD AVE,60632,ES,8,CTUA1,8,12,7,4,23,12,58,BRIGHTON PARK,Southwest Side,McKinley Park
400101,400101,66398,ACERO - CISNEROS,Cisneros Charter Elem School,25,Linda Perales,Charter,2744 W PERSHING RD,60632,ES,8,CTUA1,8,12,7,4,24,12,58,BRIGHTON PARK,Southwest Side,McKinley Park
400120,400120,66133,ACERO - CLEMENTE,Clemente Charter Elem School,32,Lashawn Wallace,Charter,2050 N NATCHEZ AVE,60707,ES,3,CTUA1,3,29,8,3,4,2,19,BELMONT CRAGIN,Northwest Side,Belmont-Austin
400121,400121,66134,ACERO - DE LA CRUZ,Cruz Charter Elem & HS,52,Lashawn Wallace,Charter,7416 N RIDGE BLVD,60645,ES,2,CTUA1,2,49,13,9,14,7,2,WEST RIDGE,Far North Side,Ravenswood
400081,400081,66392,ACERO - DE LAS CASAS,Casas Charter Elem School,20,Lashawn Wallace,Charter,1641 W 16TH ST,60608,ES,7,CTUA1,7,25,7,4,24,12,31,LOWER WEST SIDE,West Side,Pilsen-Little Village
400082,400082,66393,ACERO - FUENTES,Fuentes Charter Elem School,36,Tennille Evans,Charter,2845 W BARRY AVE,60618,ES,4,CTUA1,4,35,12,3,40,20,21,AVONDALE,North Side,Logan-Lincoln Park
400085,400085,66394,ACERO - GARCIA HS,Garcia Charter High School,56,Linda Perales,Charter,4248 W 47TH ST,60632,HS,8,CTUA1,8,14,7,4,1,1,57,ARCHER HEIGHTS,Southwest Side,McKinley Park
400112,400112,66399,ACERO - IDAR,Idar Charter Elem School,30,Christopher Baehrend,Charter,5050 S HOMAN AVE,60632,ES,8,CTUA1,8,14,7,4,1,1,63,GAGE PARK,Southwest Side,McKinley Park
400089,400089,66397,ACERO - MARQUEZ,Marquez Charter Elem School,41,Linda Perales,Charter,2916 W 47TH ST,60632,ES,8,CTUA1,8,12,7,4,23,12,58,BRIGHTON PARK,Southwest Side,McKinley Park
400083,400083,66131,ACERO - PAZ,Paz Charter Campus,14,Christopher Baehrend,Charter,2651 W 23RD ST,60608,ES,7,CTUA1,7,25,7,4,24,12,30,SOUTH LAWNDALE,West Side,Pilsen-Little Village
400114,400114,66601,ACERO - SANTIAGO,Santiago Charter Elem School,18,Tennille Evans,Charter,2510 W CORTEZ ST,60622,ES,5,CTUA1,5,36,1,3,4,2,24,WEST TOWN,West Side,Humboldt Park-Garfield W-N Lawndale
400149,400149,66137,ACERO - SOTO HS,Soto Charter High School,47,Tennille Evans,Charter,5025 S SAINT LOUIS AVE,60632,HS,8,CTUA1,8,14,7,4,1,1,63,GAGE PARK,Southwest Side,McKinley Park
400084,400084,66391,ACERO - TAMAYO,Tamayo Charter Elem School,21,Lashawn Wallace,Charter,5135 S CALIFORNIA AVE,60632,ES,8,CTUA1,8,14,7,4,1,1,63,GAGE PARK,Southwest Side,McKinley Park
400080,400080,66396,ACERO - TORRES,Torres Charter Elem School,35,,Charter,4248 W 47TH ST,60632,ES,8,CTUA1,8,14,7,4,1,1,57,ARCHER HEIGHTS,Southwest Side,McKinley Park
400079,400079,66395,ACERO - ZIZUMBO,Zizumbo Charter Elem School,37,Linda Perales,Charter,4248 W 47TH ST,60632,ES,8,CTUA1,8,14,7,4,1,1,57,ARCHER HEIGHTS,Southwest Side,McKinley Park
609772,609772,22021,ADDAMS,Addams Elementary School,45,Lashawn Wallace,Neighborhood,10810 S AVENUE H,60617,ES,13,13B,13,10,4,2,25,13,52,EAST SIDE,Far Southeast Side,Far South Side - Far East Side
400060,400060,66191,AHS - PASSAGES,Passages Charter School,43,Christopher Baehrend,Charter,1643 W BRYN MAWR AVE,60640,ES,2,CTUA2,2,40,10,9,13,7,77,EDGEWATER,Far North Side,Ravenswood
610513,610513,45231,AIR FORCE HS,Air Force Academy High School,26,Christopher Baehrend,Military academy,3630 S WELLS ST,60609,HS,6,016,16,11,11,7,6,3,34,ARMOUR SQUARE,South Side,Near N-Near W-Loop-BridgePort-Chinatown
610212,610212,32011,ALBANY PARK,Albany Park Multicultural Acad,19,James Cavallero,Neighborhood,4929 N SAWYER AVE,60625,ES,1,01C,1,33,12,3,40,20,14,ALBANY PARK,Far North Side,Saug-ReedDunning-AlbanyPk
609774,609774,22041,ALCOTT ES,Alcott Elem School,57,Linda Perales,Neighborhood,2625 N ORCHARD ST,60614,ES,4,04B,4,43,10,5,12,6,7,LINCOLN PARK,North Side,Logan-Lincoln Park
610524,610524,70241,ALCOTT HS,Alcott College Prep H.S.,38,Christopher Baehrend,Small,2957 N HOYNE AVE,60618,HS,4,015,15,32,12,5,40,20,5,NORTH CENTER,North Side,Logan-Lincoln Park
609848,609848,22641,ALDRIDGE,Aldridge Elem School,18,Lashawn Wallace,Neighborhood,630 E 131ST ST,60827,ES,13,13B,13,10,5,2,29,15,54,RIVERDALE,Far Southeast Side,Far South Side - Far East Side
609695,609695,46031,AMUNDSEN HS,Amundsen High School,114,Christopher Baehrend,Neighborhood,5110 N DAMEN AVE,60625,HS,2,02B,2,40,12,9,13,7,4,LINCOLN SQUARE,North Side,Ravenswood
609951,609951,23421,ARIEL,Ariel Community Academy,34,James Cavallero,Small,1119 E 46TH ST,60653,ES,9,09A,9,4,3,2,25,13,39,KENWOOD,South Side,Bronzeville-Hyde Park-Woodlawn
609777,609777,22061,ARMOUR,Armour Elem School,31,Tennille Evans,Neighborhood,950 W 33RD PL,60608,ES,6,06B,6,11,11,4,24,12,60,BRIDGEPORT,South Side,Near N-Near W-Loop-BridgePort-Chinatown
609779,609779,22081,ARMSTRONG G,"Armstrong, G. Elem School",93,James Cavallero,Neighborhood,2110 W GREENLEAF AVE,60645,ES,2,02A,2,50,13,9,14,7,2,WEST RIDGE,Far North Side,Ravenswood
400181,400181,69228,ART IN MOTION,,,,Charter,7415 S EAST END AVE,60649,HS,12,0,12,8,3,1,26,13,43,SOUTH SHORE,South Side,Chatham-South Shore
610287,610287,32081,ASHBURN,Ashburn Comm. Elem. School,31,Christopher Baehrend,Small,8300 S ST LOUIS AVE,60652,ES,10,10B,10,18,3,1,31,16,70,ASHBURN,Far Southwest Side,Midway-Chgo Lawn-Ashburn-Beverly
610268,610268,26191,ASHE,Ashe Elem School,34,Lashawn Wallace,Neighborhood,8505 S INGLESIDE AVE,60619,ES,12,12B,12,8,4,1,33,17,44,CHATHAM,Far Southeast Side,Chatham-South Shore
400172,400172,66255,ASPIRA - BUSINESS & FINANCE HS,Aspira Business & Finance Charter HS,44,Christopher Baehrend,Charter,2989 N. MILWAUKEE AVE,60618,HS,4,CTUA2,4,35,8,3,40,20,21,AVONDALE,North Side,Logan-Lincoln Park
400013,400013,66254,ASPIRA - EARLY COLLEGE HS,Early College Charter High School,25,Christopher Baehrend,Charter,3986 W BARRY AVE,60618,HS,4,CTUA2,4,31,8,3,40,20,21,AVONDALE,North Side,Logan-Lincoln Park
400017,400017,66351,ASPIRA - HAUGAN,Haugan Charter Middle School,12,,Charter,3729 W LELAND AVE,60625,ES,1,CTUA2,1,33,12,3,40,20,14,ALBANY PARK,Far North Side,Saug-ReedDunning-AlbanyPk
609782,609782,22091,AUDUBON,Audubon Elem School,61,Jhoanna Maldonado,Neighborhood,3500 N HOYNE AVE,60618,ES,4,04A,4,32,12,5,11,6,5,NORTH CENTER,North Side,Logan-Lincoln Park
610518,610518,46621,AUSTIN CCA HS,Austin College and Career Academy H.S. ,24,Christopher Baehrend,Small,231 N PINE AVE,60644,HS,3,015,15,37,1,7,8,4,25,AUSTIN,West Side,Belmont-Austin
609786,609786,22101,AVALON PARK,Avalon Park Elem School,21,Lashawn Wallace,Neighborhood,8045 S KENWOOD AVE,60619,ES,12,12A,12,8,4,1,33,17,45,AVALON PARK,Far Southeast Side,Chatham-South Shore
610325,610325,41091,AVONDALE-LOGANDALE,Avondale-Logandale Elementary School,47,Jhoanna Maldonado,Neighborhood,3212 W GEORGE ST,60618,ES,4,04C,4,35,8,3,40,20,21,AVONDALE,North Side,Logan-Lincoln Park
610544,610544,22921,AZUELA,Azuela Elementary School,60,Christopher Baehrend,Neighborhood,4707 W MARQUETTE RD,60629,ES,10,10B,10,23,11,4,22,11,65,WEST LAWN,Southwest Side,Midway-Chgo Lawn-Ashburn-Beverly
610563,610563,46551,BACK OF THE YARDS HS,Back of the Yards IB H.S.,95,Linda Perales,Neighborhood,2111 W 47TH ST,60609,HS,8,08A,8,12,7,4,1,1,61,NEW CITY,Southwest Side,McKinley Park
609788,609788,22131,BARNARD,Barnard Elem School,24,Christopher Baehrend,Neighborhood,10354 S CHARLES ST,60643,ES,10,10C,10,19,11,1,35,18,72,BEVERLY,Far Southwest Side,Midway-Chgo Lawn-Ashburn-Beverly
609789,609789,22141,BARRY,Barry Elem School,43,Jhoanna Maldonado,Neighborhood,2828 N KILBOURN AVE,60641,ES,4,04A,4,31,8,3,39,20,20,HERMOSA,Northwest Side,Logan-Lincoln Park
609790,609790,22151,BARTON,Barton Elem School,36,Lashawn Wallace,Neighborhood,7650 S WOLCOTT AVE,60620,ES,11,11C,11,17,3,1,31,16,71,AUBURN GRESHAM,Far Southwest Side,Englewood-Auburn Gresham
609791,609791,22161,BASS,Bass Elem School,35,Lashawn Wallace,Neighborhood,1140 W 66TH ST,60621,ES,11,11C,11,16,2,7,32,16,68,ENGLEWOOD,Southwest Side,Englewood-Auburn Gresham
609792,609792,22171,BATEMAN,Bateman Elem School,75,James Cavallero,Neighborhood,4220 N RICHMOND ST,60618,ES,1,01C,1,33,12,3,40,20,16,IRVING PARK,Northwest Side,Saug-ReedDunning-AlbanyPk
610083,610083,30051,BEARD,Beard Spec. Ed. Facility,53,James Cavallero,Special Education,6445 W STRONG ST,60656,ES,1,01A,1,41,10,5,19,10,10,NORWOOD PARK,Far North Side,Saug-ReedDunning-AlbanyPk
610246,610246,29321,BEASLEY,Beasley Academic Center,84,Jhoanna Maldonado,Regional gifted center,5255 S STATE ST,60615,ES,9,09B,9,3,2,7,5,3,40,WASHINGTON PARK,South Side,Bronzeville-Hyde Park-Woodlawn
609796,609796,22201,BEAUBIEN,Beaubien Elem School,69,,Regional gifted center,5025 N LARAMIE AVE,60630,ES,1,01B,1,45,10,5,19,10,11,JEFFERSON PARK,Far North Side,Saug-ReedDunning-AlbanyPk
610237,610237,25931,BEETHOVEN,Beethoven Elem School,28,James Cavallero,Neighborhood,25 W 47TH ST,60609,ES,9,09A,9,3,2,7,5,3,38,GRAND BOULEVARD,South Side,Bronzeville-Hyde Park-Woodlawn
609797,609797,22211,BEIDLER,Beidler Elem School,31,Jhoanna Maldonado,Neighborhood,3151 W WALNUT ST,60612,ES,5,05A,5,27,2,7,10,5,27,EAST GARFIELD PARK,West Side,Humboldt Park-Garfield W-N Lawndale
609798,609798,22221,BELDING,Belding Elem School,46,,Neighborhood,4257 N TRIPP AVE,60641,ES,1,01B,1,39,12,5,19,10,16,IRVING PARK,Northwest Side,Saug-ReedDunning-AlbanyPk
609799,609799,22231,BELL,Bell Elem School,73,Jhoanna Maldonado,Regional gifted center,3730 N OAKLEY AVE,60618,ES,4,04A,4,47,12,5,11,6,5,NORTH CENTER,North Side,Logan-Lincoln Park
609922,609922,26771,BELMONT-CRAGIN,Belmont-Cragin Comm. Elem. Sch,47,James Cavallero,Small,6112 W. FULLERTON AVE,60639,ES,3,03A,3,36,8,3,3,2,19,BELMONT CRAGIN,Northwest Side,Belmont-Austin
609800,609800,22241,BENNETT,Bennett Elem School,19,Lashawn Wallace,Neighborhood,10115 S PRAIRIE AVE,60628,ES,13,13A,13,9,5,2,34,17,49,ROSELAND,Far Southeast Side,Far South Side - Far East Side
610350,610350,29381,BLACK,Black Magnet,31,Lashawn Wallace,Magnet,9101 S EUCLID AVE,60617,ES,12,12A,12,8,4,1,33,17,48,CALUMET HEIGHTS,Far Southeast Side,Chatham-South Shore
609803,609803,22261,BLAINE,Blaine Elem School,55,Jhoanna Maldonado,Neighborhood,1420 W GRACE ST,60613,ES,4,04C,4,46,10,5,13,7,6,LAKE VIEW,North Side,Logan-Lincoln Park
610087,610087,30071,BLAIR,Blair Spec. Ed. Facility,29,James Cavallero,Special Education,6751 W 63RD PL,60638,ES,10,10A,10,13,11,6,22,11,64,CLEARING,Southwest Side,Midway-Chgo Lawn-Ashburn-Beverly
609698,609698,46041,BOGAN HS,Bogan High School,68,Christopher Baehrend,Neighborhood,3939 W 79TH ST,60652,HS,10,016,16,18,11,1,32,16,70,ASHBURN,Far Southwest Side,Midway-Chgo Lawn-Ashburn-Beverly
610238,610238,25941,BOND,Bond Elem School,31,Lashawn Wallace,Neighborhood,7050 S MAY ST,60621,ES,11,11C,11,16,2,7,32,16,68,ENGLEWOOD,Southwest Side,Englewood-Auburn Gresham
609815,609815,22371,BOUCHET,Bouchet Math & Science Academy,60,Lashawn Wallace,Neighborhood,7355 S JEFFERY BLVD,60649,ES,12,12A,12,7,4,1,26,13,43,SOUTH SHORE,South Side,Chatham-South Shore
610323,610323,46491,BOWEN HS,Bowen High School,30,Lashawn Wallace,Small,2710 E 89TH ST,60617,HS,12,017,17,7,4,1,25,13,46,SOUTH CHICAGO,Far Southeast Side,Chatham-South Shore
609806,609806,22291,BRADWELL,Bradwell Elem School,27,Lashawn Wallace,Neighborhood,7736 S BURNHAM AVE,60649,ES,12,AUSL-S,12,7,4,2,25,13,43,SOUTH SHORE,South Side,Chatham-South Shore
610242,610242,25991,BRENNEMANN,Brennemann Elem School,52,Christopher Baehrend,Neighborhood,4251 N CLARENDON AVE,60613,ES,2,02B,2,46,10,9,11,6,3,UPTOWN,Far North Side,Ravenswood
609809,609809,22311,BRENTANO,Brentano Math & Sci Academy,55,Jhoanna Maldonado,Neighborhood,2723 N FAIRFIELD AVE,60647,ES,4,04C,4,1,8,3,39,20,22,LOGAN SQUARE,North Side,Logan-Lincoln Park
609810,609810,22321,BRIDGE,Bridge Elem School,78,James Cavallero,Neighborhood,3800 N NEW ENGLAND AVE,60634,ES,1,01A,1,38,9,3,19,10,17,DUNNING,Northwest Side,Saug-ReedDunning-AlbanyPk
609811,609811,22331,BRIGHT,Bright Elem School,22,Lashawn Wallace,Neighborhood,10740 S CALHOUN AVE,60617,ES,13,13B,13,10,4,2,33,17,51,SOUTH DEERING,Far Southeast Side,Far South Side - Far East Side
610317,610317,26451,BRIGHTON PARK,Brighton Park Elem,36,Jhoanna Maldonado,Neighborhood,3825 S WASHTENAW AVE,60632,ES,8,08A,8,12,7,4,24,12,58,BRIGHTON PARK,Southwest Side,McKinley Park
610590,610590,26181,BRONZEVILLE CLASSICAL,Bronzeville Classical,25,James Cavallero,Classical,8 W ROOT ST,60609,ES,9,09A,9,3,2,7,5,3,38,GRAND BOULEVARD,South Side,Bronzeville-Hyde Park-Woodlawn
610381,610381,55191,BRONZEVILLE HS,Bronzeville Scholastic,14,Lashawn Wallace,Small,4934 S WABASH AVE,60615,HS,9,017,17,3,3,7,5,3,38,GRAND BOULEVARD,South Side,Bronzeville-Hyde Park-Woodlawn
609726,609726,47051,BROOKS HS,Brooks College Prep H.S.,66,Lashawn Wallace,Selective enrollment,250 E 111TH ST,60628,HS,13,017,17,9,5,2,28,14,49,ROSELAND,Far Southeast Side,Far South Side - Far East Side
610091,610091,24631,BROWN R,"Brown, R. Community Academy",23,Lashawn Wallace,Neighborhood,12607 S UNION AVE,60628,ES,13,13A,13,9,5,1,28,14,53,WEST PULLMAN,Far Southeast Side,Far South Side - Far East Side
609812,609812,22351,BROWN W,"Brown, W. Elem School",32,Tennille Evans,Neighborhood,54 N HERMITAGE AVE,60612,ES,6,06A,6,27,2,7,10,5,28,NEAR WEST SIDE,West Side,Near N-Near W-Loop-BridgePort-Chinatown
609813,609813,22361,BROWNELL,Brownell Elem School,17,Lashawn Wallace,Neighborhood,6741 S MICHIGAN AVE,60637,ES,12,12A,12,6,2,1,6,3,69,GREATER GRAND CROSSING,South Side,Chatham-South Shore
609830,609830,22491,BRUNSON,Brunson Specialty School,34,Jhoanna Maldonado,Neighborhood,932 N CENTRAL AVE,60651,ES,3,03B,3,29,1,7,78,39,25,AUSTIN,West Side,Belmont-Austin
609817,609817,22391,BUDLONG,Budlong Elem School,60,Christopher Baehrend,Neighborhood,2701 W FOSTER AVE,60625,ES,2,02B,2,40,12,5,13,7,4,LINCOLN SQUARE,North Side,Ravenswood
609818,609818,22401,BURBANK,Burbank Elem School,75,James Cavallero,Neighborhood,2035 N MOBILE AVE,60639,ES,3,03A,3,29,8,7,4,2,19,BELMONT CRAGIN,Northwest Side,Belmont-Austin
609819,609819,22411,BURKE,Burke Elem School,36,Jhoanna Maldonado,Neighborhood,5356 S KING DR,60615,ES,9,09B,9,3,2,7,5,3,40,WASHINGTON PARK,South Side,Bronzeville-Hyde Park-Woodlawn
609820,609820,22421,BURLEY,Burley Elem School,39,Jhoanna Maldonado,Neighborhood,1630 W BARRY AVE,60657,ES,4,04C,4,32,12,5,11,6,6,LAKE VIEW,North Side,Logan-Lincoln Park
609821,609821,22431,BURNHAM,Burnham Elem School,39,Lashawn Wallace,Neighborhood,9928 S CRANDON AVE,60617,ES,13,13B,13,7,4,1,33,17,51,SOUTH DEERING,Far Southeast Side,Far South Side - Far East Side
609827,609827,29021,BURNSIDE,Burnside Scholastic Academy,33,Lashawn Wallace,Magnet,650 E 91ST PL,60619,ES,12,12B,12,8,4,1,34,17,44,CHATHAM,Far Southeast Side,Chatham-South Shore
609828,609828,22471,BURR,Burr Elementary School,33,Tennille Evans,Neighborhood,1621 W WABANSIA AVE,60622,ES,6,06A,6,32,12,5,10,5,24,WEST TOWN,West Side,Near N-Near W-Loop-BridgePort-Chinatown
609829,609829,22481,BURROUGHS,Burroughs Elem School,34,Linda Perales,Neighborhood,3542 S WASHTENAW AVE,60632,ES,8,08A,8,12,7,4,24,12,58,BRIGHTON PARK,Southwest Side,McKinley Park
609832,609832,22501,BYRNE,Byrne Elem School,48,James Cavallero,Neighborhood,5329 S OAK PARK AVE,60638,ES,10,10A,10,23,16,6,21,11,56,GARFIELD RIDGE,Southwest Side,Midway-Chgo Lawn-Ashburn-Beverly
610353,610353,26821,CALMECA,Calmeca Academy of Fine Arts,56,Linda Perales,Small,3456 W 38TH ST,60632,ES,8,08A,8,12,7,4,23,12,58,BRIGHTON PARK,Southwest Side,McKinley Park
609835,609835,22531,CAMERON,Cameron Elem School,59,Jhoanna Maldonado,Neighborhood,1234 N MONTICELLO AVE,60651,ES,5,05A,5,36,8,3,4,2,23,HUMBOLDT PARK,West Side,Humboldt Park-Garfield W-N Lawndale
610539,610539,22691,CAMRAS,Camras Elementary School,76,James Cavallero,Neighborhood,3000 N MANGO AVE,60634,ES,3,03A,3,30,8,3,3,2,19,BELMONT CRAGIN,Northwest Side,Belmont-Austin
609836,609836,22541,CANTY,Canty Elem School,67,James Cavallero,Neighborhood,3740 N PANAMA AVE,60634,ES,1,01A,1,38,9,3,20,10,17,DUNNING,Northwest Side,Saug-ReedDunning-AlbanyPk
610024,610024,24051,CARDENAS,Cardenas Elem School,72,Linda Perales,Neighborhood,2345 S MILLARD AVE,60623,ES,7,07A,7,22,7,4,23,12,30,SOUTH LAWNDALE,West Side,Pilsen-Little Village
609837,609837,22551,CARNEGIE,Carnegie Elem School,38,Jhoanna Maldonado,Regional gifted center,1414 E 61ST PL,60637,ES,9,09B,9,5,3,1,26,13,42,WOODLAWN,South Side,Bronzeville-Hyde Park-Woodlawn
609839,609839,22571,CARROLL,Carroll Elem School,38,Christopher Baehrend,Neighborhood,2929 W 83RD ST,60652,ES,10,10B,10,18,3,1,31,16,70,ASHBURN,Far Southwest Side,Midway-Chgo Lawn-Ashburn-Beverly
609842,609842,22601,CARSON,Carson Elementary School,74,Linda Perales,Neighborhood,5516 S MAPLEWOOD AVE,60629,ES,8,08B,8,15,11,4,1,1,63,GAGE PARK,Southwest Side,McKinley Park
609844,609844,22611,CARTER,Carter Elem School,27,Jhoanna Maldonado,Neighborhood,5740 S MICHIGAN AVE,60637,ES,9,AUSL-S,9,20,2,7,5,3,40,WASHINGTON PARK,South Side,Bronzeville-Hyde Park-Woodlawn
609845,609845,22621,CARVER G,Carver Elem. School,40,Lashawn Wallace,Neighborhood,901 E 133RD PL,60827,ES,13,13B,13,10,5,2,29,15,54,RIVERDALE,Far Southeast Side,Far South Side - Far East Side
609760,609760,46381,CARVER MILITARY HS,Carver Military Academy,40,Lashawn Wallace,Military academy,13100 S DOTY AVE,60827,HS,13,017,17,10,4,2,34,17,54,RIVERDALE,Far Southeast Side,Far South Side - Far East Side
610021,610021,24011,CASALS,Casals Elementary School,38,Jhoanna Maldonado,Neighborhood,3501 W POTOMAC AVE,60651,ES,5,AUSL-W,5,26,8,3,4,2,23,HUMBOLDT PARK,West Side,Humboldt Park-Garfield W-N Lawndale
609849,609849,22651,CASSELL,Cassell Elem School,34,Christopher Baehrend,Neighborhood,11314 S SPAULDING AVE,60655,ES,10,10C,10,19,11,6,35,18,74,MOUNT GREENWOOD,Far Southwest Side,Midway-Chgo Lawn-Ashburn-Beverly
610599,610599,26081,CATALPA,Northwest Early Childhood Center,15,,Magnet,4434 N LARAMIE AVE,60630,ES,1,01A,1,45,12,5,19,10,15,PORTAGE PARK,Northwest Side,Saug-ReedDunning-AlbanyPk
400021,400021,66432,CATALYST - CIRCLE ROCK,,,,Charter,5608 W WASHINGTON BLVD,60644,ES,3,0,3,29,1,7,8,4,25,AUSTIN,West Side,Belmont-Austin
400115,400115,66433,CATALYST - MARIA ES,,,,Charter,6727 S CALIFORNIA AVE,60629,ES,10,0,10,16,2,7,32,16,66,CHICAGO LAWN,Southwest Side,Midway-Chgo Lawn-Ashburn-Beverly
400182,400182,66433,CATALYST - MARIA HS,,,,Charter,6727 S CALIFORNIA AVE,60629,HS,10,0,10,16,2,7,32,16,66,CHICAGO LAWN,Southwest Side,Midway-Chgo Lawn-Ashburn-Beverly
610251,610251,26021,CATHER,Cather Elem School,34,Jhoanna Maldonado,Neighborhood,2908 W WASHINGTON BLVD,60612,ES,5,05A,5,27,1,7,10,5,27,EAST GARFIELD PARK,West Side,Humboldt Park-Garfield W-N Lawndale
609851,609851,22671,CHALMERS,Chalmers Elem School,30,Tennille Evans,Neighborhood,2745 W ROOSEVELT RD,60608,ES,5,AUSL-W,5,28,2,7,9,5,29,NORTH LAWNDALE,West Side,Humboldt Park-Garfield W-N Lawndale
609852,609852,22681,CHAPPELL,Chappell Achieve. Skills Cntr.,46,Christopher Baehrend,Neighborhood,2135 W FOSTER AVE,60625,ES,2,02B,2,40,12,9,13,7,4,LINCOLN SQUARE,North Side,Ravenswood
609853,609853,22701,CHASE,Chase Elem School,54,Jhoanna Maldonado,Neighborhood,2021 N POINT ST,60647,ES,4,04A,4,1,1,3,39,20,22,LOGAN SQUARE,North Side,Logan-Lincoln Park
610148,610148,25151,CHAVEZ,Chavez Elem School,66,Linda Perales,Neighborhood,4747 S MARSHFIELD AVE,60609,ES,8,08B,8,20,7,4,6,3,61,NEW CITY,Southwest Side,McKinley Park
400022,400022,63051,CHIARTS HS,Chicago High School for the Arts,44,,Contract,2714 W AUGUSTA BLVD,60622,HS,5,CTUA2,5,26,1,3,4,2,24,WEST TOWN,West Side,Humboldt Park-Garfield W-N Lawndale
610248,610248,45211,CHICAGO ACADEMY ES,Chicago Academy,48,James Cavallero,Small,3400 N AUSTIN AVE,60634,ES,1,AUSL-W,1,30,8,3,3,2,17,DUNNING,Northwest Side,Saug-ReedDunning-AlbanyPk
610340,610340,46481,CHICAGO ACADEMY HS,Chicago Academy H.S.,56,James Cavallero,Small,3400 N AUSTIN AVE,60634,HS,1,AUSL-W,14,30,8,3,3,2,17,DUNNING,Northwest Side,Saug-ReedDunning-AlbanyPk
609753,609753,47091,CHICAGO AGRICULTURE HS,Chicago Agriculture H.S.,64,Christopher Baehrend,Magnet,3857 W 111TH ST,60655,HS,10,10C,10,19,11,1,35,18,74,MOUNT GREENWOOD,Far Southwest Side,Midway-Chgo Lawn-Ashburn-Beverly
400161,400161,66671,CHICAGO COLLEGIATE,,,,Charter,11816 S INDIANA AVE,60628,HS,13,0,13,9,5,2,29,15,53,WEST PULLMAN,Far Southeast Side,Far South Side - Far East Side
400147,400147,63141,CHICAGO EXCEL HS,,,,Alternative,1257 W 111TH ST,60643,HS,13,0,13,21,5,1,27,14,75,MORGAN PARK,Far Southwest Side,Far South Side - Far East Side
400035,400035,66281,CHICAGO MATH & SCIENCE HS,,,,Charter,7212 N CLARK ST,60626,HS,2,0,2,49,13,9,14,7,1,ROGERS PARK,Far North Side,Ravenswood
609754,609754,70070,CHICAGO MILITARY HS,Chicago Military Academy,29,Lashawn Wallace,Military academy,3519 S GILES AVE,60653,HS,9,017,17,3,3,1,5,3,35,DOUGLAS,South Side,Bronzeville-Hyde Park-Woodlawn
400091,400091,63091,CHICAGO TECH HS,,,,Contract,1301 W 14TH ST,60608,HS,6,0,6,28,2,7,9,5,28,NEAR WEST SIDE,West Side,Near N-Near W-Loop-BridgePort-Chinatown
609674,609674,53011,CHICAGO VOCATIONAL HS,Chicago Voc Career Academy,66,Lashawn Wallace,Career academy,2100 E 87TH ST,60617,HS,12,017,17,8,4,1,33,17,45,AVALON PARK,Far Southeast Side,Chatham-South Shore
610060,610060,29171,CHICAGO WORLD LANGUAGE ACADEMY,Chicago World Language Acad.,39,Tennille Evans,Magnet,1340 W HARRISON ST,60607,ES,6,06B,6,34,2,7,9,5,28,NEAR WEST SIDE,West Side,Near N-Near W-Loop-BridgePort-Chinatown
609854,609854,22721,CHOPIN,Chopin Elem School,32,Jhoanna Maldonado,Neighborhood,2450 W RICE ST,60622,ES,5,05A,5,36,1,3,4,2,24,WEST TOWN,West Side,Humboldt Park-Garfield W-N Lawndale
609855,609855,30031,CHRISTOPHER,Christopher Elem School,42,Linda Perales,Neighborhood,5042 S ARTESIAN AVE,60632,ES,8,08A,8,15,7,4,1,1,63,GAGE PARK,Southwest Side,McKinley Park
400159,400159,66661,CHRISTOPHER HOUSE,Christopher House Charter Elem School,51,,Charter,5235 W BELDEN AVE,60639,ES,3,CTUA2,3,36,8,3,3,2,19,BELMONT CRAGIN,Northwest Side,Belmont-Austin
400023,400023,66371,CICS - AVALON/SOUTH SHORE,,,,Charter,1501 E 83RD PL,60619,ES,12,0,12,8,4,1,33,17,45,AVALON PARK,Far Southeast Side,Chatham-South Shore
